link,product_name,map_title,description,date,cartographer,source,image_link,id,width,height
http://www.geographicus.com/P/AntiqueMap/TurkeyEurope-t-1814,"Antique Map: 1814 Thomson Map of Greece, Turkey (in Europe) and the Balkans",Turkish Dominins in Europe,"This hand colored map is a steel plate engraving, dating to 1814 by the important English mapmaker John Thomson. It represents the Turkish Dominins in Europe.  These areas include, Greece and the Balkans: Moldova, Serbia, Bosnia, Croatia, Dalmatia andMacedonia.. Thomson maps are known for their stunning color, awe inspiring size, and magnificent detail.  Thomson’s work, including this map, represents some of the finest cartographic art of the 19th century.",1815,http://www.geographicus.com/mm5/cartographers/thomson.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/TurkeyEurope-t-1814.jpg,TurkeyEurope-t-1814,13.5,18.5
http://www.geographicus.com/P/AntiqueMap/Beijing-crow-1925,"Antique Map: 1925 Crow Plan of Beijing (Peking), China",Sketch Map of Peking drawn for Crows “Handbook for China”.,This rare map is a plan of Beijing (Peking) China. Published for Carl Crows “Handbook for China”. Text in English.,1925,http://www.geographicus.com/mm5/cartographers/unknown.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Beijing-crow-1925.jpg,Beijing-crow-1925,12,11.5
http://www.geographicus.com/P/AntiqueMap/CapeCharles-uscs-1853,"Antique Map: 1853 U.S.C.S. Map of Cape Charles and Vicinity, Virginia",Preliminary Sketch of Cape Charles and Vicinity.  ,"A rare hand colored 1853 coastal chart Cape Charles, Virginia. Cape Charles forms the southeastern tip of the peninsula formed by the Chesapeake Bay.  At one time it was an important stop on the railroad and still serves as a ferry base for crossing the bay.  In addition the romantic scenic location has become a popular summer tourist destination.  Also depicted are Smith’s Island, The Isaacs, and Fisherman’s Island.  Includes detailed depth soundings, the location of a light house, and sailing instructions. Published under the supervision of A. D. Bache for the 1853 Report of the Superintendant of the U.S. Coast Survey.",1853,http://www.geographicus.com/mm5/cartographers/uscs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/CapeCharles-uscs-1853.jpg,CapeCharles-uscs-1853,14.5,11.5
http://www.geographicus.com/P/AntiqueMap/Setauket-uscs-1925,"Antique Map: 1904 U.S.G.S. Map of Long Island New York (Islip, Brookhaven, Smithtown)",New York (Suffolk County) Setauket Quadrangle,"This beautiful and fascinating topographical chart depicts the Long Island, New York region of Smithtown, Brookhaven and Islip. Shows the beach communities of Port Jefferson, Setauket, Stoney Brook, and others. Highly detailed with important buildings, and trains and rail lines.  A rare and stunning geological survey of this highly affluent summer resort area. From the 1922 reissue of the April 1904 charts.",1904,http://www.geographicus.com/mm5/cartographers/uscs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Setauket-uscs-1925.jpg,Setauket-uscs-1925,19,15
http://www.geographicus.com/P/AntiqueMap/WesternHemi-felmming-1844,Antique Map: 1844 Flemming Map of the Western Hemisphere or South and North America,Western Hemisphere,This attractive hand colored map depicts the Western Hemisphere including North America and South America.  Printed in 1844 by well known map publisher C. Flemming. Fine or perfect condition.  All text in German.,1844,http://www.geographicus.com/mm5/cartographers/flemming.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/WesternHemi-felmming-1844.jpg,WesternHemi-felmming-1844,11,11
http://www.geographicus.com/P/AntiqueMap/WesternHemi-colton-1858,Antique Map: 1858 Colton's Map of the Western Hemisphere,Western Hemisphere,"This rare hand colored map is a copper plate engraving, dating to 1858 by the well known 19th century American Mapmaker Colton.  It is a representation of the Western Hemisphere, including North and South America.  Oceanic features such as the Sargasso Sea This map is from the rare transitional Colton’s Cabinet Atlas. This rare map indicates products by region, temperature, and general elevation.  The California Gold region is clearly noted. Map is dated 1858.",1858,http://www.geographicus.com/mm5/cartographers/colton.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/WesternHemi-colton-1858.jpg,WesternHemi-colton-1858,10,11
http://www.geographicus.com/P/AntiqueMap/GoodHope2-bellin-1763,Antique Map: 1763 Bellin Map of Cape Town ( Cape of Good Hope ) South Africa,Carte de la Baye de la Table et Rade eu Cap de Bonne Experance.,"This hand colored map is a c. 1763 map of the Cape of Good Hope and Cape Town, South Africa.  Attributed to French cartographer Jacques-Nicholas Bellin, this map was issued for the French edition of Provost’s Histoire des Voyages…. Beautifully rendered mountains and villages show the area in considerable detail.  Shows the “Village of the Hottentots”, Blue Mountain, Cow Mountain, Table Mountain, The City of Cape Town itself, Tigerbergen, and many other features.  Some oceanic depths are indicated.  Of interest is also the Isle of Robben, located centrally on the map.  Long a place of exile and punishment, this island prison had a reputation for brutality and cruelty.  Today a museum honors the site of so much suffering.",1763,http://www.geographicus.com/mm5/cartographers/bellin.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/GoodHope2-bellin-1763.jpg,GoodHope2-bellin-1763,9,7
http://www.geographicus.com/P/AntiqueMap/GoodHope3-bellin-1763,Antique Map: 1764 Bellin Map of Cape Town (Cape of Good Hope),Carte de la Baye de la Table et Rade eu Cap de Bonne Experance.,"This hand colored map is a c. 1764 map of the Cape of Good Hope and Cape Town, South Africa.  Attributed to French cartographer Jacques-Nicholas Bellin, this map was issued for the French edition of Provost’s Histoire des Voyages…. Beautifully rendered mountains and villages show the area in considerable detail.  Shows the “Village of the Hottentots”, Blue Mountain, Cow Mountain, Table Mountain, The City of Cape Town itself, Tigerbergen, and many other features.  Some oceanic depths are indicated.  Of interest is also the Isle of Robben, located centrally on the map.  Long a place of exile and punishment, this island prison had a reputation for brutality and cruelty.  Today a museum honors the site of so much suffering.",1764,http://www.geographicus.com/mm5/cartographers/bellin.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/GoodHope3-bellin-1763.jpg,GoodHope3-bellin-1763,9,7
http://www.geographicus.com/P/AntiqueMap/LaPlata-m-1946,"Antique Map: 1846 Burroughs - Mitchell Map of Argentina, Uruguay, Chili in South America",Chili La Plata and Uruguay.  South Part of Patagonia.  ,"This scarce hand colored map is a lithographic engraving of Chili, La Plata and Uruguay, dating to 1846 by the legendary American Mapmaker S.A. Mitchell, the elder.  Mostly depicts modern day Argentina.  There is an inset of Patagonia and Tierra del Fuego on the bottom right. There is no engraver listed, but this is most likely a Burroughs map. H. N. Burroughs is a mysterious transitional engraver, whose work for the Mitchell firm appears in 1846 between that of H.S. Tanner and Mitchell himself.  Ristow notes, Nothing is known about Burroughs, but he was undoubtedly an employee or associate of Mitchell. His fine and detailed work appears only in certain hard to find mid 1840s editions of the Mitchell’s Atlas.",1846,http://www.geographicus.com/mm5/cartographers/mitchell.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/LaPlata-m-1946.jpg,LaPlata-m-1946,15,12.5
http://www.geographicus.com/P/AntiqueMap/WAOR-j-64,"Antique Map: 1864 Johnson Map of Washington, Oregon & Idaho ( Wyoming & Montana )","Johnson’s Washington, Oregon and Idaho  ","This magnificent 1864 hand colored map of Washington, Oregon, and Idaho is one of the most important transitional maps of the American Northwest published in the 19th century.  Produced just prior to the exploration of Yellowstone National Park.  What would eventually become Wyoming and Montana are included within the boundaries of Idaho.  Also noted are numerous American Indian tribes, forts, passes, topographical details, proposed railroads, mines, etc.",1864,http://www.geographicus.com/mm5/cartographers/johnson.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/WAOR-j-64.jpg,WAOR-j-64,16,13
http://www.geographicus.com/P/AntiqueMap/NewYorkKitchin-mcny-1869,Antique Map: 1869 Kitchen / Shannon Map of  New York City,New York in 1778 or Map of New York I.,"This is an unusual map of New York City in 1778, reduced and reprinted in 1869.  The original map was drawn by Thomas Kitchin in his capacity as Hydrographer to His Majesty.  It was originally published in The London Magazine.   Features the full island of Manhattan with parts of Brooklyn, Queens, and Westchester.  What is offered here is actually a c. 1869 reprint of the original, and much larger, 1778 map.   Prepared for the 1869 edition of the Shannon’s  Manual of The Corporation Of The City of New York .",1869,http://www.geographicus.com/mm5/cartographers/sarony.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/NewYorkKitchin-mcny-1869.jpg,NewYorkKitchin-mcny-1869,10,8
http://www.geographicus.com/P/AntiqueMap/Hempstead-uscs-1925,"Antique Map: 1900 U.S.G.S. Map of Hempstead, Long Beach, Long Island, New York",New York Hempstead Quadrangle  ,"This beautiful and fascinating topographical chart depicts the Long Island, New York region of Hempstead, including Freeport, Hempstead, and Long Beach. Includes some submarine details. Highly detailed with important buildings, and trains and rail lines.  A rare and stunning geological survey of this highly populated region.  From the October 1909 reissue of the April 1903 charts.",1900,http://www.geographicus.com/mm5/cartographers/usgs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Hempstead-uscs-1925.jpg,Hempstead-uscs-1925,19,15
http://www.geographicus.com/P/AntiqueMap/OysterBay-uscs-1925,"Antique Map: 1900 U.S.G.S. Map of Oyster Bay, Long Island, New York",New York - Connecticut Oyster Bay Quadrangle  ,"This beautiful and fascinating topographical chart depicts the Long Island, New York region of Oyster Bay, including North Hempstead, and across the Long Island Sound, parts of Mamaroneck, Harrison, and Rye. Highly detailed with important buildings, and trains and rail lines.  A rare and stunning geological survey of this highly populated region.  From the 1928 reissue of the Feb. 1900 charts.",1900,http://www.geographicus.com/mm5/cartographers/usgs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/OysterBay-uscs-1925.jpg,OysterBay-uscs-1925,19,15
http://www.geographicus.com/P/AntiqueMap/StJohnRiver-uscs-1853,"Antique Map: 1853 U.S.C.S. Map of St. John's River, Florida",(Sketch F  No. 2) Preliminary Chart of the Entrance St. John’s River Florida.  ,"A rare hand colored 1853 costal chart of St. John’s River, Florida.  Chart offers superb inland detail of Fort George Island, Batton Island, Talbot Island, Long Island, Pilot Houses, Mayport Mills and Gibbs House, as well as sailing instructions and depth soundings well into the river proper.   Triangulation was accomplished by G. A. Fairfield, topography by R. M Bache, and hydrography by T. A. Craven.  Published under the supervision of A. D. Bache for the 1853 Report of the Superintendant of the U.S. Coast Survey.",1853,http://www.geographicus.com/mm5/cartographers/usgs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/StJohnRiver-uscs-1853.jpg,StJohnRiver-uscs-1853,18.5,14
http://www.geographicus.com/P/AntiqueMap/Northport-uscs-1925,"Antique Map: 1900 U.S.G.S Map of Huntington and Northport, Long Island, New York",New York Northport Quadrangle  ,"This beautiful and fascinating topographical chart depicts Long Island, New York from Oyster Bay through Huntington and Northport to Smithtown, Islip, and Babylon. Highly detailed with important buildings, and trains and rail lines.  A rare and stunning geological survey of this highly populated region.  From the 1928 reissue of the Feb. 1900 charts.",1900,http://www.geographicus.com/mm5/cartographers/usgs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Northport-uscs-1925.jpg,Northport-uscs-1925,19,15
http://www.geographicus.com/P/AntiqueMap/Moriches-uscs-1925,"Antique Map: 1904 U.S.G.S. Map of Long Island, New York: Fire Island, Brookhaven, Moriches",New York (Suffolk County) Moriches Quadrangle  ,"This beautiful and fascinating topographical chart depicts the Long Island, New York region of Fire Island, Riverhead, and Brookhaven. Shows the beach communities along Fire Island as well as Bellport Bay and Moriches Bay. Highly detailed with important buildings, and trains and rail lines.  A rare and stunning geological survey of this highly affluent summer resort area. From the 1927 reissue of the November 1904 charts.",1904,http://www.geographicus.com/mm5/cartographers/usgs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Moriches-uscs-1925.jpg,Moriches-uscs-1925,23,15
http://www.geographicus.com/P/AntiqueMap/WAOR2-j-64,"Antique Map: 1864 Johnson Map of Washington, Oregon and Idaho",Johnson’s Washington Oregon and Idaho.  ,"This is a magnificent 1864 hand colored map depicts Washington state, Oregon and Idaho.  This is a rare variant upon the same 1864 Johnson’s map issue earlier in 1864, due to the defined Idaho-Montana border.  This suggests that this map was issued late in 1864 following the formation of Montana.",1864,http://www.geographicus.com/mm5/cartographers/johnson.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/WAOR2-j-64.jpg,WAOR2-j-64,16,13
http://www.geographicus.com/P/AntiqueMap/HornIslandPass-uscs-1853,Antique Map: 1853 U.S.C.S. Map of Horn Island Pass ( Mississippi & Louisiana ),H No. 2 U.S. Coast Survey Horn Island Pass Mississippi Sound.,A rare hand colored 1853 costal chart of the Horn Island Pass.   Horn Island pass is the entrance to the Mississippi Sound and thence the Pascagoula River from the Gulf of Mexico. Depicts Horn Island and the western part of Petit Bois Island.  Chart features numerous depth soundings and detailed sailing instructions. The Triangulation was accomplished by F. H. Gerdes and the Topography by W.E. Greenwell. Both men produced this chart under the command of B.F. Sands. Published under the supervision of A. D. Bache for the 1853 Report of the Superintendant of the U.S. Coast Survey.,1853,http://www.geographicus.com/mm5/cartographers/usgs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/HornIslandPass-uscs-1853.jpg,HornIslandPass-uscs-1853,16,13
http://www.geographicus.com/P/AntiqueMap/Arabia-bonne-1780,"Antique Map: 1780 Bonne Map of Arabia, Egypt & Ethiopia","Carte de L'Arabie, du Golfe Persique et de lat Mer Rouge, avec L'Egypte, La Nubie et L'Abissinie.","This is an attractive map of Arabia, northwestern Africa, Ethiopia (Absynnia) and the Red Sea by the mapmaker Rigobert Bonne, c. 1780.   Towns, churches, cities and mountains are depicted as miniature representations of themselves. This map is highly detailed and beautifully crafted.",1780,http://www.geographicus.com/mm5/cartographers/bonne.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Arabia-bonne-1780.jpg,Arabia-bonne-1780,12,8.5
http://www.geographicus.com/P/AntiqueMap/AmericaMts2-black-1839,Antique Map: 1839 Black &#x2F; Hall Map of the Mountains & Plants of America,"Physical Geography.  Humboldt’s Distribution of Plants in Equinoctial America, According to Elevation Above the Level of the Sea.",This is a fascinating  1839 map of the distribution of plants according to elevation in the Americas.  Includes the heights of various mountains around the world and reference to both terrestrial and subterranean plants.  A fascinating and beautiful chart.  Drawn and engraved by George Aikman.,1839,http://www.geographicus.com/mm5/cartographers/black.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/AmericaMts2-black-1839.jpg,AmericaMts2-black-1839,14.5,10.5
http://www.geographicus.com/P/AntiqueMap/Acapulco-bellin-1764,"Antique Map: 1764 Bellin Map of Acapulco, Mexico",Plan du Port d’Acapulco sur la Cote du Mexique dans la Mer du Sud.  ,"This beautiful little map of the city and port of Acapulco, Mexico was produced by the French Cartographer Jacques-Nicolas Bellin in 1760.  Includes some buildings, the fort, and depth soundings.",1764,http://www.geographicus.com/mm5/cartographers/bellin.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Acapulco-bellin-1764.jpg,Acapulco-bellin-1764,9,7
http://www.geographicus.com/P/AntiqueMap/Vancounver-USCS-1909,Antique Map: 1909 U.S.G.S. Geological Survey of Vancouver City,Vancouver City and Island.,"This beautiful and fascinating map Vancouver City was issued for the 1909 U.S. Coast &amp; Geodetic Survey, under the supervision of Henry Gannett.  This is a 1909 reissue of the original 1887 survey. It depicts Vancouver City and parts of Portland Oregon and Vancouver Island.  Also shown are topographic features, roads, and railroad lines.",1909,http://www.geographicus.com/mm5/cartographers/uscs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Vancounver-USCS-1909.jpg,Vancounver-USCS-1909,9,7
http://www.geographicus.com/P/AntiqueMap/RivMiss6-USCS-1865,Antique Map: 1865 U.S.C.S. Map of the Mississippi River around Chester Illinois,"MIssissippi River around Chester, Illinois.","This is a beautiful hand colored 1865 United States Costal Survey chart or map of a part of the Mississippi River around, Chester Illinois.  Sheet six of a six sheet set depicting the Mississippi River from Cairo Illinois to St. Mary’s Missouri. The bends in the river are named, as are the many river islands shown. Notes towns, wood lots, landings and farms, many of which are shown with family names. Produced under the supervision of A. D. Bache in 1865. Professionally rebacked and beautifully hand colored.",1865,http://www.geographicus.com/mm5/cartographers/uscs.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/RivMiss6-USCS-1865.jpg,RivMiss6-USCS-1865,23,16
http://www.geographicus.com/P/AntiqueMap/ItalyNaples-Bonne-1780,Antique Map: 1780 Bonne Map of Naples in Southern Italy,Naples in Southern Italy.,"This remarkable map of the province of Naples of southern Italy was made in 1780 by the mapmaker Rigobert Bonne.  Towns, churches, cities and mountains are depicted as miniature representations of themselves. This map is highly detailed and masterfully crafted.  It is one of the most beautifully made maps of Italy in our stock.",1780,http://www.geographicus.com/mm5/cartographers/bonne.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/ItalyNaples-Bonne-1780.jpg,ItalyNaples-Bonne-1780,10,14
http://www.geographicus.com/P/AntiqueMap/Venice-bonne-1780,Antique Map: 1780 Bonne Map of Venice in Western Italy,L'Etat de Venise avec les Duches de Mantoue et de Modene.,"An attractive c. 1780 map of the Italian duchies of Venice, Mantua, and Modena.  Covers as far south as Tuscany and Florence (Firenze) an as far north as Switzerland.  Issued as plate number 56 for Bonne's  Atlas Encyclopaedique .",1780,http://www.geographicus.com/mm5/cartographers/bonne.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Venice-bonne-1780.jpg,Venice-bonne-1780,14,10
http://www.geographicus.com/P/AntiqueMap/TurkeyinEurope-cary-1836,Antique Map: 1836 Cary Map of Greece and the Balkans,Turkey in Europe,"This is a hand colored 1836 map of Greece &amp; the Balkans under the rule of Turkey by John Cary.   Includes the modern day states of Greece, Albania, Moldova, Bosnia, Croatia, Serbia, Bulgaria &amp; Romania.   Published from Cary's office at 181 Strand Street, London.",1836,http://www.geographicus.com/mm5/cartographers/cary.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/TurkeyinEurope-cary-1836.jpg,TurkeyinEurope-cary-1836,10,12
http://www.geographicus.com/P/AntiqueMap/Marseilles-SDUK-40,"Antique Map: 1840 S.D.U.K. Map or City Plan of Marseilles, France","Marseilles, France.","This map is a steel plate engraving, dating to 1840 and published by the S.D.U.K. or “The Society for the Diffusion of Useful Knowledge”.  It represents the southern French city of Marseilles.  Individual buildings and streets are carefully noted.",1840,http://www.geographicus.com/mm5/cartographers/sduk.txt,<i>Maps of the Society for the Diffusion of Useful Knowledge.</i> Vol1. 1844.,http://www.geographicus.com/mm5/graphics/00000001/L/Marseilles-SDUK-40.jpg,Marseilles-SDUK-40,15,13
http://www.geographicus.com/P/AntiqueMap/NewYork-scientific-1892,Antique Map: 1892 Scientific American Map and View of New York City,The Great Engineering Works of New York City.,"Offered here is a rare edition of Scientific American Magazine issued to praise the great engineering projects of New York City.  The front cover features a map of New York City’s elevated train line – the precursor to the modern subway system, a View of Manhattan showing several important stations and bridges, and a close up of the 155th Street Viaduct, and of Union Station. Includes the full 10 page magazine.","November 19, 1892 (dated)",http://www.geographicus.com/mm5/cartographers/scientificamer.txt,"Scientific American: A Weekly Jounral of Practical Information, Art, Science, Mechanica, Chemistry, and Manufactures. New York, November 19, 1892.",http://www.geographicus.com/mm5/graphics/00000001/L/NewYork-scientific-1892.jpg,NewYork-scientific-1892,10,15
http://www.geographicus.com/P/AntiqueMap/Moluques2-bellin-1760,Antique Map: 1760 Bellin Map of the Moluques - Moluccas - Moluccan Island,Carte Particuliere Des Isles Moluques.  ,"This beautiful hand colored map of the Moluques (also known as the Moluccas, Moluccan Islands or simply Maluku) was produced by the French Cartographer Jacques-Nicolas Bellin in 1760.  Depicts the islands of Herij, Ternate, Tidor, Pottebackers, Timor, Machian and Bachian.  The Moluccan islands were once part of the Dutch East Indies.  Today the Moluccas are part of Indonesia.",1760,http://www.geographicus.com/mm5/cartographers/bellin.txt,,http://www.geographicus.com/mm5/graphics/00000001/L/Moluques2-bellin-1760.jpg,Moluques2-bellin-1760,9,6.5
